#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.CategoryDoppelBelegstelle|DoppelBelegstelleValue
#T_SP=webanno.custom.CategoryKE|KEValue
#T_SP=webanno.custom.CategoryKEE|KEEValue
#T_SP=webanno.custom.CategoryLEMMA|LEMMAValue
#T_SP=webanno.custom.CategoryMetaCorpusID|MetaCorpusIDValue
#T_SP=webanno.custom.CategoryMetaDate|MetaDateValue
#T_SP=webanno.custom.CategoryMetaLContext|MetaLContextValue
#T_SP=webanno.custom.CategoryMetaRContext|MetaRContextValue
#T_SP=webanno.custom.CategoryMetaSource|MetaSourceValue
#T_SP=webanno.custom.CategoryName|NameValue
#T_SP=webanno.custom.CategoryPOS|POSValue
#T_SP=webanno.custom.GF|GFDesc
#T_SP=webanno.custom.PT|PTDesc


#Text=Jede Seite schildert das Geschehen aus ihrer Perspektive , Aussage steht gegen Aussage .
1-1	0-4	Jede	_	_	_	jede	1-1	18.09.2017	Es ist schwierig, unabhängige Informationen über Rettungsaktionen zu erhalten.	Wie glaubwürdig die Zeugen sind, lässt sich nur schwer prüfen.	Die Zeit, 18.09.2017, Nr. 38	_	PIAT	NK[23]	CS[44]|S[45]|NP[46]|PIAT[47]	
13-1	898-905	Aussage	_	_	_	Aussage	13-1	10.12.2004	Es sei eine Mär, der erste Trainer hätte kein Geld für erfahrene Akteure bekommen\; vielmehr habe er sich dagegen gesträubt.	Der Regionalliga-Vorletzte will jetzt nachträglich handeln.	Berliner Zeitung, 10.12.2004	_	NN	NK	S[254]|NP[255]|NN[256]	
13-2	906-911	steht	_	_	_	stehen	13-2	_	_	_	_	_	VVFIN	HD	S[254]|VVFIN[257]	
13-3	912-917	gegen	_	_	_	gegen	13-3	_	_	_	_	_	APPR	AC	S[254]|PP[258]|APPR[259]	
13-4	918-925	Aussage	_	_	_	Aussage	13-4	_	_	_	_	_	NN	NK	S[254]|PP[258]|NN[260]	
13-5	926-927	.	_	_	_	.	13-5	_	_	_	_	_	$.		$.	

#Text=" " Aussage stand gegen Aussage " " , erklärt Marseille mit einem Lächeln .
14-1	928-929	"	_	_	_	"[5]	14-1	29.11.2001	Später wurde das Ermittlungsverfahren eingestellt.	Sein Engagement für die Mieter &Bürgerliste endete übrigens mit mäßigem Erfolg.	Die Zeit, 29.11.2001, Nr. 49	_	$([19]		$(	
14-2	930-931	"	_	_	_	"[5]	14-2	_	_	_	_	_	$([19]	NK[38]	S[261]|NP[262]|$([263]	
14-3	932-939	Aussage	_	_	_	Aussage	14-3	_	_	_	_	_	NN	NK[38]	S[261]|NP[262]|NN[264]	
14-4	940-945	stand	_	_	_	stehen	14-4	_	_	_	_	_	VVFIN	HD	S[261]|VVFIN[265]	
14-5	946-951	gegen	_	_	_	gegen	14-5	_	_	_	_	_	APPR	AC	S[261]|PP[266]|APPR[267]	
14-6	952-959	Aussage	_	_	_	Aussage	14-6	_	_	_	_	_	NN	NK[39]	S[261]|PP[266]|NN[268]	
14-7	960-961	"	_	_	_	"[6]	14-7	_	_	_	_	_	$([20]	NK[39]	S[261]|PP[266]|NP[269]|$([270]	
14-8	962-963	"	_	_	_	"[6]	14-8	_	_	_	_	_	$([20]	NK[39]	S[261]|PP[266]|NP[269]|$([270]	
14-9	964-965	,	_	_	_	,	14-9	_	_	_	_	_	$,		S[261]|$,[271]	
14-10	966-973	erklärt	_	_	_	erklären	14-10	_	_	_	_	_	VVFIN	HD	S[261]|VVFIN[272]	
14-11	974-983	Marseille	_	_	_	Marseille	14-11	_	_	_	_	_	NE	SB	S[261]|NE[273]	
14-12	984-987	mit	_	_	_	mit	14-12	_	_	_	_	_	APPR	AC	S[261]|PP[274]|APPR[275]	
14-13	988-993	einem	_	_	_	eine	14-13	_	_	_	_	_	ART	NK[40]	S[261]|PP[274]|ART[276]	
14-14	994-1001	Lächeln	_	_	_	Lächeln	14-14	_	_	_	_	_	NN	NK[40]	S[261]|PP[274]|NN[277]	
14-15	1002-1003	.	_	_	_	.	14-15	_	_	_	_	_	$.		$.	

#Text=" " Aussage stand gegen Aussage " " , erklärt Marseille mit einem Lächeln .
15-1	1004-1005	"	_	_	_	"[7]	15-1	29.11.2001	Später wurde das Ermittlungsverfahren eingestellt.	Sein Engagement für die Mieter &Bürgerliste endete übrigens mit mäßigem Erfolg.	Die Zeit, 29.11.2001 (online)	_	$([21]		$(	
15-2	1006-1007	"	_	_	_	"[7]	15-2	_	_	_	_	_	$([21]	NK[41]	S[278]|NP[279]|$([280]	
15-3	1008-1015	Aussage	_	_	_	Aussage	15-3	_	_	_	_	_	NN	NK[41]	S[278]|NP[279]|NN[281]	
15-4	1016-1021	stand	_	_	_	stehen	15-4	_	_	_	_	_	VVFIN	HD	S[278]|VVFIN[282]	
15-5	1022-1027	gegen	_	_	_	gegen	15-5	_	_	_	_	_	APPR	AC	S[278]|PP[283]|APPR[284]	
15-6	1028-1035	Aussage	_	_	_	Aussage	15-6	_	_	_	_	_	NN	NK[42]	S[278]|PP[283]|NN[285]	
15-7	1036-1037	"	_	_	_	"[8]	15-7	_	_	_	_	_	$([22]	NK[42]	S[278]|PP[283]|NP[286]|$([287]	
15-8	1038-1039	"	_	_	_	"[8]	15-8	_	_	_	_	_	$([22]	NK[42]	S[278]|PP[283]|NP[286]|$([287]	
15-9	1040-1041	,	_	_	_	,	15-9	_	_	_	_	_	$,		S[278]|$,[288]	
15-10	1042-1049	erklärt	_	_	_	erklären	15-10	_	_	_	_	_	VVFIN	HD	S[278]|VVFIN[289]	
15-11	1050-1059	Marseille	_	_	_	Marseille	15-11	_	_	_	_	_	NE	SB	S[278]|NE[290]	
15-12	1060-1063	mit	_	_	_	mit	15-12	_	_	_	_	_	APPR	AC	S[278]|PP[291]|APPR[292]	
15-13	1064-1069	einem	_	_	_	eine	15-13	_	_	_	_	_	ART	NK[43]	S[278]|PP[291]|ART[293]	
15-14	1070-1077	Lächeln	_	_	_	Lächeln	15-14	_	_	_	_	_	NN	NK[43]	S[278]|PP[291]|NN[294]	
15-15	1078-1079	.	_	_	_	.	15-15	_	_	_	_	_	$.		$.	
